Rank,Release,Gross,MaxTh,Opening,% of Total,Open Th,Open,Close,Distributor
60,The Pope's Exorcist,$20009380,3178,$9006368,45%,3178,Apr 14,0,Screen Gems
61,The Holdovers,$19788590,1601,$211093,1.1%,6,Nov 22,0,Focus Features
62,Ferrari,$18474843,2386,$3921773,21.2%,2386,Dec 25,0,Neon
63,The Blackening,$17707207,1775,$6013131,34%,1775,Jun 16,Jul 27,Lions Gate Films
64,Book Club: The Next Chapter,$17581565,3513,$6677580,38%,3508,May 12,Jun 22,Focus Features
65,Renfield,$17297895,3378,$8026475,46.4%,3375,Apr 14,May 18,Universal Pictures
66,The Covenant,$16938039,2631,$6380188,37.7%,2611,Apr 21,0,Metro0Goldwyn0Mayer (MGM)
67,Expend4bles,$16710153,3518,$8039021,48.1%,3518,Sep 22,0,Lions Gate Films
68,Champions,$16397335,3039,$5148740,31.4%,3030,Mar 10,0,Focus Features
69,Ruby Gillman: Teenage Kraken,$15753600,3408,$5500990,34.9%,3400,Jun 30,Aug 17,DreamWorks
70,Titanic 25 Year Anniversary,$15033795,2464,$6714684,44.7%,2464,Feb 10,Mar 9,Paramount Pictures
71,Dumb Money,$13925356,2837,$220947,1.6%,8,Sep 29,0,Sony Pictures Releasing
72,The Last Voyage of the Demeter,$13637180,2715,$6504950,47.7%,2715,Aug 11,Sep 7,Universal Pictures
73,Joy Ride,$12897789,2820,$5806277,45%,2820,Jul 7,0,Lions Gate Films
74,About My Father,$12089391,2464,$4321148,35.7%,2464,May 26,Jul 13,Lions Gate Films
75,Saltburn,$11425829,1566,$322651,2.8%,7,Nov 22,0,Warner Bros.
76,Suzume,$10932037,2170,$5001705,45.8%,2170,Apr 14,0,Crunchyroll
77,The Machine,$10458331,2409,$5000545,47.8%,2409,May 26,0,Sony Pictures Releasing
78,Demon Slayer: Kimetsu No Yaiba 0 To the Swordsmith Village,$10117806,1774,$10117806,0,1774,Mar 3,0,Crunchyroll
79,House Party,$9002247,1400,$3985882,44.3%,1400,Feb 23,0,Warner Bros.
80,Beau Is Afraid,$8176562,2125,$320396,3.9%,4,Apr 21,0,A24
81,Silent Night,$8012103,1873,$3010207,37.6%,1870,Dec 1,0,Lions Gate Films
82,The Hill,$7665865,1703,$2301931,30%,1570,Aug 25,0,Briarcliff Entertainment
83,Sisu,$7265622,1006,$3330891,45.8%,1006,Jun 1,0,Lions Gate Films
84,Journey to Bethlehem,$6820796,2002,$2400446,35.2%,2002,Nov 10,0,Affirm Films
85,Operation Fortune: Ruse de Guerre,$6496125,2168,$3140214,48.3%,2168,Mar 3,Mar 23,Lions Gate Films
86,Love Again,$6230837,2703,$2380962,38.2%,2703,May 5,0,Screen Gems
87,Women Talking,$5456531,707,$40530,0.7%,8,Jan 6,Mar 16,United Artists Releasing
88,Nefarious,$5433685,933,$1316266,24.2%,933,Apr 14,0,Soli Deo Gloria Releasing
89,Big George Foreman,$5426772,3054,$2925364,53.9%,3054,Apr 28,0,Sony Pictures Releasing
90,Freelance,$5314136,2057,$2086000,39.3%,2057,Oct 27,0,Relativity Media
91,Infinity Pool,$5078400,1835,$2514364,49.5%,1835,Jan 27,0,Neon
92,Kandahar,$4813132,2105,$2325388,48.3%,2105,May 26,0,Open Road Films (II)
93,Golda,$4801781,883,$1695959,35.3%,883,Aug 25,0,Bleecker Street Media
94,Marlowe,$4350243,2281,$1814094,41.7%,2281,Feb 15,0,Open Road Films (II)
95,The Amazing Maurice,$4303645,1717,$1463195,34%,1712,Feb 3,0,Viva Pictures
96,Mafia Mamma,$3496761,2002,$2032202,58.1%,2002,Apr 14,0,Bleecker Street Media
97,A Thousand and One,$3400020,926,$1795695,52.8%,926,Mar 31,0,Focus Features
98,What Happens Later,$3273895,1492,$1522750,46.5%,1492,Nov 3,0,Bleecker Street Media
99,A Good Person,$2210465,687,$832007,37.6%,530,Mar 31,Apr 20,United Artists Releasing
100,Fear,$2090261,974,$1227545,58.7%,974,Jan 27,0,Hidden Empire Film Group (HEFG)
101,Jules,$1924922,780,$839622,43.6%,780,Aug 11,0,Bleecker Street Media
102,The Marsh King's Daughter,$1792905,1055,$849006,47.4%,1055,Nov 3,0,Lions Gate Films
103,The Lost King,$1188032,753,$516462,43.5%,753,Mar 24,0,IFC Films
104,Paint,$811739,819,$570512,70.3%,819,Apr 7,0,IFC Films
105,The Devil Conspiracy,$765218,925,$439759,57.5%,925,Jan 13,0,0
106,Rally Road Racers,$744169,1228,$419717,56.4%,1228,May 12,0,Viva Pictures
107,Back on the Strip,$669472,1318,$411410,61.5%,1318,Aug 18,0,0
108,Inspector Sun,$642192,971,$328601,51.2%,971,Oct 27,0,Viva Pictures
109,Sweetwater,$541633,1204,$351010,64.8%,1204,Apr 14,0,Briarcliff Entertainment
110,Consecration,$538551,762,$329951,61.3%,762,Feb 10,0,IFC Films
111,Terrifier,$339946,853,$123957,36.5%,400,Jul 19,0,0
112,The Inventor,$306385,700,$190031,62%,700,Sep 15,0,Blue Fox Entertainment

