title,domestic_box_office,opening_box_office,release_date
Barbie,636238421,162022044,2023-07-21
The Super Mario Bros. Movie,574934330,146361865,2023-04-05
Spider-Man: Across the Spider-Verse,381311319,120663589,2023-06-02
Guardians of the Galaxy Vol. 3,358995815,118414021,2023-05-05
Oppenheimer,328770130,82455420,2023-07-21
Ant-Man and the Wasp: Quantumania,214504909,106109650,2023-02-17
John Wick: Chapter 4,187131806,73817950,2023-03-24
Taylor Swift: The Eras Tour,180756269,93224755,2023-10-13
Indiana Jones and the Dial of Destiny,174480468,60368101,2023-06-30
Mission: Impossible - Dead Reckoning Part One,172135383,54688347,2023-07-12
The Hunger Games: The Ballad of Songbirds & Snakes,166350594,44607143,2023-11-17
Transformers: Rise of the Beasts,157066392,61045464,2023-06-09
Creed III,156248615,58370007,2023-03-03
Fast X,146126015,67017410,2023-05-19
Five Nights at Freddy's,137275620,80001720,2023-10-27
Aquaman and the Lost Kingdom,120853270,27686211,2023-12-22
Teenage Mutant Ninja Turtles: Mutant Mayhem,118613586,28007544,2023-08-02
Scream VI,108161389,44447270,2023-03-10
The Flash,108133313,55043679,2023-06-16
Migration,106443010,12453275,2023-12-22
Trolls Band Together,102521675,30002525,2023-11-17
M3GAN,95159005,30429860,2023-01-06
Dungeons & Dragons: Honor Among Thieves,93277026,37205784,2023-03-31
The Equalizer 3,92373751,34604229,2023-09-01
The Marvels,84500223,46110859,2023-11-10
Insidious: The Red Door,82156962,33013036,2023-07-07
Anyone But You,76482971,6000344,2023-12-22
Blue Beetle,72488072,25030225,2023-08-18
Killers of the Flower Moon,67781398,23253655,2023-10-20
Haunted Mansion,67653287,24082475,2023-07-28
The Exorcist: Believer,65537395,26497600,2023-10-06
PAW Patrol: The Mighty Movie,65231360,22764354,2023-09-29
Cocaine Bear,64670240,23260790,2023-02-24
A Man Called Otto,64267657,56257,2023-01-13
Wish,63632979,19698228,2023-11-22
Napoleon,61506157,20638887,2023-11-22
The Color Purple,60367292,11737072,2023-12-25
Shazam! Fury of the Gods,57638006,30111158,2023-03-17
Saw X,53607898,18309301,2023-09-29
Air,52460106,14456279,2023-06-01
Jesus Revolution,52102987,15882067,2023-02-24
No Hard Feelings,50452282,15002770,2023-06-23
The Boys in the Boat,49707517,8400548,2023-12-25
Talk to Me,48299436,10431720,2023-07-28
Gran Turismo,44428554,17410552,2023-08-25
The Creator,40774679,14079512,2023-09-29
80 for Brady,39330588,12701640,2023-02-03
Knock at the Cabin,35397980,14127170,2023-02-03
The Iron Claw,34193183,4868370,2023-12-22
Renaissance: A Film by Beyoncé,33889684,21801216,2023-12-01
Missing,32502025,9154695,2023-01-20
Plane,32111181,10265326,2023-01-13
65,32062904,12328361,2023-03-10
Thanksgiving,31908884,10306272,2023-11-17
My Big Fat Greek Wedding 3,28496030,10028675,2023-09-08
Asteroid City,28153025,853382,2023-06-23
Strays,23988885,8247810,2023-08-18
Priscilla,20864910,132139,2023-11-03
Are You There God? It's Me Margaret.,20372406,6739037,2023-04-28
The Pope's Exorcist,20009380,9006368,2023-04-14
The Holdovers,19788590,211093,2023-11-22
Ferrari,18474843,3921773,2023-12-25
The Blackening,17707207,6013131,2023-06-16
Book Club: The Next Chapter,17581565,6677580,2023-05-12
Renfield,17297895,8026475,2023-04-14
The Covenant,16938039,6380188,2023-04-21
Expend4bles,16710153,8039021,2023-09-22
Champions,16397335,5148740,2023-03-10
Ruby Gillman: Teenage Kraken,15753600,5500990,2023-06-30
Titanic 25 Year Anniversary,15033795,6714684,2023-02-10
Dumb Money,13925356,220947,2023-09-29
The Last Voyage of the Demeter,13637180,6504950,2023-08-11
Joy Ride,12897789,5806277,2023-07-07
About My Father,12089391,4321148,2023-05-26
Saltburn,11425829,322651,2023-11-22
Suzume,10932037,5001705,2023-04-14
The Machine,10458331,5000545,2023-05-26
Demon Slayer: Kimetsu No Yaiba 0 To the Swordsmith Village,10117806,10117806,2023-03-03
House Party,9002247,3985882,2023-02-23
Beau Is Afraid,8176562,320396,2023-04-21
Silent Night,8012103,3010207,2023-12-01
The Hill,7665865,2301931,2023-08-25
Sisu,7265622,3330891,2023-06-01
Journey to Bethlehem,6820796,2400446,2023-11-10
Operation Fortune: Ruse de Guerre,6496125,3140214,2023-03-03
Love Again,6230837,2380962,2023-05-05
Women Talking,5456531,40530,2023-01-06
Nefarious,5433685,1316266,2023-04-14
Big George Foreman,5426772,2925364,2023-04-28
Freelance,5314136,2086000,2023-10-27
Infinity Pool,5078400,2514364,2023-01-27
Kandahar,4813132,2325388,2023-05-26
Golda,4801781,1695959,2023-08-25
Marlowe,4350243,1814094,2023-02-15
The Amazing Maurice,4303645,1463195,2023-02-03
Mafia Mamma,3496761,2032202,2023-04-14
A Thousand and One,3400020,1795695,2023-03-31
What Happens Later,3273895,1522750,2023-11-03
A Good Person,2210465,832007,2023-03-31
Fear,2090261,1227545,2023-01-27
Jules,1924922,839622,2023-08-11
The Marsh King's Daughter,1792905,849006,2023-11-03
The Lost King,1188032,516462,2023-03-24
Paint,811739,570512,2023-04-07
The Devil Conspiracy,765218,439759,2023-01-13
Rally Road Racers,744169,419717,2023-05-12
Back on the Strip,669472,411410,2023-08-18
Inspector Sun,642192,328601,2023-10-27
Sweetwater,541633,351010,2023-04-14
Consecration,538551,329951,2023-02-10
Terrifier,339946,123957,2023-07-19
The Inventor,306385,190031,2023-09-15
