Year,Total Gross
1994,5061909583
1993,4823116106
1992,4519644026
1991,4336073530
1990,4326824577
1989,4084060815
1988,3542179944
1987,3343230996
1986,3065297715
1985,3017379323
1984,3066288000
1983,2738195414
1982,3001761432
1981,898686960
1980,1642400771
1979,1229428453
1978,826413013
1977,443497461
