Rank,Release,Gross,MaxTh,Opening,% of Total,Open Th,Open,Close,Distributor
61,Blacklight,$9591094,2772,$3502475,36.5%,2772,Feb 11,0,Briarcliff Entertainment
62,Pearl,$9423445,2982,$3128427,33.2%,2935,Sep 16,0,A24
63,Spider-Man: No Way Home 2022 Re-Release,$9321593,3935,$5403230,58%,3935,Sep 2,0,Sony Pictures Releasing
64,Redeeming Love,$9214020,1963,$3530180,38.3%,1903,Jan 21,0,Universal Pictures
65,Three Thousand Years of Longing,$8286741,2436,$2919717,35.2%,2436,Aug 26,Oct 6,United Artists Releasing
66,Brahmastra Part One: Shiva,$7839108,810,$4543659,58%,810,Sep 9,Oct 14,Walt Disney Studios Motion Pictures
67,Bones and All,$7834907,2727,$2258562,28.8%,2727,Nov 23,0,United Artists Releasing
68,Men,$7587853,2212,$3293030,0,2212,May 20,0,A24
69,Memory,$7329043,2555,$3113298,42.5%,2555,Apr 29,0,Open Road Films (II)
70,Fall,$7240521,1548,$2512145,34.7%,1548,Aug 12,0,Lions Gate Films
71,Tár,$6773650,1090,$158620,2.3%,4,Oct 28,Mar 16,Focus Features
72,Marcel the Shell with Shoes On,$6333702,821,$159403,2.5%,6,Jul 15,0,A24
73,She Said,$5825995,2023,$2217010,38.1%,2022,Nov 18,0,Universal Pictures
74,The Cursed,$4588389,1695,$1776142,38.7%,1687,Feb 18,0,LD Entertainment
75,Vengeance,$4330720,1003,$1755325,40.5%,998,Jul 29,Sep 1,Focus Features
76,Belle,$4018313,1338,$1565658,39%,1338,Feb 3,Feb 3,GKIDS
77,Breaking,$2806359,909,$985921,35.1%,902,Aug 26,Oct 7,Bleecker Street Media
78,Honk for Jesus. Save Your Soul.,$2561270,1882,$1422615,55.5%,1880,Sep 2,0,Focus Features
79,Mack & Rita,$2540965,1930,$1038291,40.9%,1930,Aug 12,0,Gravitas Premiere
80,Studio 666,$2513963,2306,$1540543,61.3%,2306,Feb 25,0,Open Road Films (II)
81,The Good House,$2219760,1061,$801568,36.1%,1061,Sep 30,0,Roadside Attractions
82,Umma,$2121025,805,$915290,43.2%,805,Mar 18,Apr 21,Stage 6 Films
83,The Wolf and the Lion,$2072173,1005,$641845,31%,1005,Feb 4,0,Blue Fox Entertainment
84,Watcher,$1961207,764,$826775,42.2%,764,Jun 3,0,IFC Films
85,Mr. Malcolm's List,$1885718,1384,$810742,43%,1384,Jul 1,0,Bleecker Street Media
86,Armageddon Time,$1872625,1006,$70275,3.8%,6,Nov 4,0,Focus Features
87,The King's Daughter,$1758963,2170,$723802,41.1%,2170,Jan 21,0,Gravitas Ventures
88,Running the Bases,$1511980,1080,$538749,35.6%,1080,Sep 16,Nov 24,UP2U Films
89,Medieval,$1374325,1311,$821991,59.8%,1311,Sep 9,0,The Avenue Entertainment
90,God's Country,$493679,785,$279928,56.7%,785,Sep 16,0,IFC Films
91,The Railway Children Return,$466391,923,$245904,52.7%,923,Sep 23,0,Blue Fox Entertainment
92,Father Stu: Reborn 2022 Re-Release (Father Stu: Reborn),$205881,993,$135167,65.7%,993,Dec 9,0,Sony Pictures Releasing
