Rank,Release,Gross,MaxTh,Opening,% of Total,Open Th,Open,Close,Distributor
1,Top Gun: Maverick,$718732821,4751,$126707459,17.6%,4735,May 27,Dec 16,Paramount Pictures
2,Avatar: The Way of Water,$684075767,4340,$134100226,19.6%,4202,Dec 16,May 25,20th Century Studios
3,Black Panther: Wakanda Forever,$453829060,4396,$181339761,40%,4396,Nov 11,Mar 16,Walt Disney Studios Motion Pictures
4,Doctor Strange in the Multiverse of Madness,$411331607,4534,$187420998,45.6%,4534,May 6,0,Walt Disney Studios Motion Pictures
5,Jurassic World Dominion,$376851080,4697,$145075625,38.5%,4676,Jun 10,Sep 23,Universal Pictures
6,Minions: The Rise of Gru,$370270765,4427,$107010140,28.9%,4391,Jul 1,0,Universal Pictures
7,The Batman,$369345583,4417,$134008624,36.3%,4417,Mar 4,0,Warner Bros.
8,Thor: Love and Thunder,$343256830,4375,$144165107,42%,4375,Jul 8,Oct 14,Walt Disney Studios Motion Pictures
9,Sonic the Hedgehog 2,$190872904,4258,$72105176,37.8%,4234,Apr 8,Jul 8,Paramount Pictures
10,Puss in Boots: The Last Wish,$186090535,4121,$12429515,6.7%,4099,Dec 21,0,Universal Pictures
11,Black Adam,$168152111,4402,$67004323,39.8%,4402,Oct 21,Jan 13,Warner Bros.
12,Elvis,$151040048,3932,$31211579,20.7%,3906,Jun 24,Oct 14,Warner Bros.
13,Uncharted,$148648820,4275,$44010155,29.6%,4275,Feb 18,0,Sony Pictures Releasing
14,Nope,$123277080,3807,$44366910,36%,3785,Jul 22,Oct 6,Universal Pictures
15,Lightyear,$118307188,4255,$50577961,42.8%,4255,Jun 17,Sep 9,Walt Disney Studios Motion Pictures
16,Smile,$105935048,3659,$22609925,21.3%,3645,Sep 30,Dec 16,Paramount Pictures
17,The Lost City,$105344029,4283,$30453269,28.9%,4253,Mar 25,Jun 23,Paramount Pictures
18,Bullet Train,$103368602,4357,$30030156,29.1%,4357,Aug 5,0,Sony Pictures Releasing
19,The Bad Guys,$97459240,4042,$23950245,24.6%,4008,Apr 22,Nov 17,Universal Pictures
20,Fantastic Beasts: The Secrets of Dumbledore,$95850844,4245,$42151256,44%,4208,Apr 15,Jul 1,Warner Bros.
21,DC League of Super-Pets,$93657117,4332,$23003441,24.6%,4314,Jul 29,0,Warner Bros.
22,Where the Crawdads Sing,$90230760,3650,$17253227,19.1%,3650,Jul 15,Oct 20,Sony Pictures Releasing
23,The Black Phone,$90123230,3156,$23633220,26.2%,3150,Jun 24,Sep 23,Universal Pictures
24,Scream,$81641405,3666,$30018805,36.8%,3664,Jan 14,0,Paramount Pictures
25,Everything Everywhere All at Once,$77191785,2220,$501305,0.6%,10,Jul 29,0,A24
26,Morbius,$73865530,4268,$39005895,52.8%,4268,Apr 1,0,Columbia Pictures
27,Ticket to Paradise,$68275985,4066,$16509095,24.2%,3543,Oct 21,0,Universal Pictures
28,The Woman King,$67328130,3765,$19051442,28.3%,3765,Sep 16,0,TriStar Pictures
29,Halloween Ends,$64079860,3901,$40050355,62.5%,3901,Oct 14,Nov 17,Universal Pictures
30,Dog,$61778069,3827,$14883928,24.1%,3677,Feb 18,0,United Artists Releasing
31,Jackass Forever,$57743451,3653,$23154388,40.1%,3604,Feb 4,0,Paramount Pictures
32,Violent Night,$50057405,3723,$13450240,26.9%,3682,Dec 2,0,Universal Pictures
33,Lyle Lyle Crocodile,$46888441,4350,$11401182,24.3%,4350,Oct 7,0,Sony Pictures Releasing
34,Death on the Nile,$45630104,3420,$12891123,28.3%,3280,Feb 11,0,20th Century Studios
35,Downton Abbey: A New Era,$44141550,3830,$16000495,36.2%,3820,May 20,0,Focus Features
36,Barbarian,$40842944,2890,$10543948,25.8%,2340,Sep 9,0,20th Century Studios
37,Strange World,$37968963,4174,$12151384,32%,4174,Nov 23,0,Walt Disney Studios Motion Pictures
38,The Northman,$34233110,3284,$12290800,35.9%,3234,Apr 22,0,Focus Features
39,The Bob's Burgers Movie,$31933830,3425,$12416819,38.9%,3425,May 27,0,20th Century Studios
40,Beast,$31846530,3754,$11575855,36.3%,3743,Aug 19,Oct 14,Universal Pictures
41,The Invitation,$25100080,3117,$6805468,27.1%,3114,Aug 26,Oct 20,Sony Pictures Releasing
42,Avatar 2022 Re-Release,$24714024,2040,$10529576,42.6%,1860,Sep 23,Oct 14,Walt Disney Pictures
43,Whitney Houston: I Wanna Dance with Somebody,$23708080,3625,$4700450,19.8%,3625,Dec 23,0,TriStar Pictures
44,Ambulance,$22781115,3412,$8699630,38.2%,3412,Apr 8,0,Universal Pictures
45,Marry Me,$22438180,3643,$7949980,35.4%,3642,Feb 11,0,Universal Pictures
46,Father Stu,$20884796,2705,$5402642,25.9%,2705,Apr 13,0,Sony Pictures Releasing
47,Devotion,$20511938,3458,$5902803,28.8%,3405,Nov 23,0,Columbia Pictures
48,The Unbearable Weight of Massive Talent,$20300157,3036,$7131703,35.1%,3036,Apr 22,Jun 10,Lions Gate Films
49,Prey for the Devil,$19802293,2980,$7185126,36.3%,2980,Oct 28,0,Lions Gate Films
50,Moonfall,$19060660,3446,$9868997,51.8%,3446,Feb 4,0,Lions Gate Films
51,Paws of Fury: The Legend of Hank,$17811382,3481,$6321423,35.5%,3475,Jul 15,Aug 19,Paramount Pictures
52,The Fabelmans,$17348945,1962,$161579,0.9%,4,Nov 23,Mar 16,Universal Pictures
53,Babylon,$15351455,3351,$3603368,23.5%,3343,Dec 23,Jan 27,Paramount Pictures
54,Amsterdam,$14947969,3005,$6444896,43.1%,3005,Oct 7,0,Walt Disney Studios Motion Pictures
55,The 355,$14570455,3145,$4621765,31.7%,3145,Jan 7,0,Universal Pictures
56,Easter Sunday,$13013690,3176,$5447130,41.9%,3175,Aug 5,Sep 23,Universal Pictures
57,X,$11765309,2920,$4275126,36.3%,2865,Mar 18,0,A24
58,Bros,$11628165,3356,$4854125,41.7%,3350,Sep 30,0,Universal Pictures
59,Bodies Bodies Bodies,$11446602,2541,$226653,2%,6,Aug 5,0,A24
60,Firestarter,$9739250,3413,$3827715,39.3%,3412,May 13,Jun 24,Universal Pictures
